LokaleSuche;EliteAnteil;Jobs;Maschinen;Instanz;Wartekapazitaet;Iterationen;RPD
20;1.0;20;5;7;2;2314;0.05166814289932093
40;1.0;20;5;7;2;1191;0.0
60;1.0;20;5;7;2;801;0.007381163271331562
80;1.0;20;5;7;2;603;0.007381163271331562
100;1.0;20;5;7;2;485;0.014762326542663124
120;1.0;20;5;7;2;405;0.007381163271331562
20;1.0;20;10;7;3;2699;0.0
40;1.0;20;10;7;3;1371;0.0
60;1.0;20;10;7;3;916;0.0
80;1.0;20;10;7;3;690;0.0
100;1.0;20;10;7;3;549;0.0
120;1.0;20;10;7;3;458;0.0
20;1.0;20;20;7;4;2864;0.0
40;1.0;20;20;7;4;1442;0.0
60;1.0;20;20;7;4;947;0.0
80;1.0;20;20;7;4;722;0.0
100;1.0;20;20;7;4;542;0.0
120;1.0;20;20;7;4;479;0.0
50;1.0;50;5;7;1;1184;0.5751762877972989
100;1.0;50;5;7;1;622;0.16134815346002152
150;1.0;50;5;7;1;415;0.1374447233177961
200;1.0;50;5;7;1;311;0.1389386877016852
250;1.0;50;5;7;1;247;0.19272140552169237
300;1.0;50;5;7;1;207;0.10905940002390344
50;1.0;50;10;7;2;1323;1.079928154467894
100;1.0;50;10;7;2;659;0.7543780871127077
150;1.0;50;10;7;2;454;0.6802873821284239
200;1.0;50;10;7;2;334;0.5725190839694656
250;1.0;50;10;7;2;277;0.4411764705882353
300;1.0;50;10;7;2;231;0.5242478670857655
50;1.0;50;20;7;3;1377;1.0917101562372986
100;1.0;50;20;7;3;693;0.6925815734282789
150;1.0;50;20;7;3;463;0.5990993187988749
200;1.0;50;20;7;3;347;0.7226584727438261
250;1.0;50;20;7;3;278;0.6177957697247557
300;1.0;50;20;7;3;232;0.6161699913833748
100;1.0;100;5;7;4;698;0.7856378433536034
200;1.0;100;5;7;4;354;0.561643949261235
300;1.0;100;5;7;4;237;0.4376177004952754
400;1.0;100;5;7;4;178;0.5292892756701151
500;1.0;100;5;7;4;143;0.5491998440338811
600;1.0;100;5;7;4;119;0.5234820265640167
100;1.0;100;10;7;1;742;1.4666286111216185
200;1.0;100;10;7;1;374;1.074954522477416
300;1.0;100;10;7;1;250;0.7902256854296552
400;1.0;100;10;7;1;187;0.8610640192845328
500;1.0;100;10;7;1;150;0.932246228546473
600;1.0;100;10;7;1;125;0.9893295461188503
100;1.0;100;20;7;2;705;1.6380168580341143
200;1.0;100;20;7;2;354;1.139178336762461
300;1.0;100;20;7;2;236;1.1107718855777529
400;1.0;100;20;7;2;169;1.1766111369217493
500;1.0;100;20;7;2;142;0.9291829826773744
600;1.0;100;20;7;2;119;1.1184708302913653
